"","LocalGov","StatDiv","ClaimNb","AccNb","KillInjNb","Pop","PopDens"
"1","Ashfield","D1",1103,2304,920,124850,0.499001
"2","Auburn","D1",1939,2660,1465,143500,0.148379
"3","Bankstown","D1",4339,7381,3864,470700,0.205407
"4","Baulkhamhills","D1",1491,3217,1554,311300,0.025879
"5","Blacktown","D1",3801,6655,4175,584900,0.081222
"6","Botany","D1",387,2013,854,106350,0.178143
"7","Burwood","D1",1299,1888,946,88750,0.413285
"8","Camden","D1",326,510,353,56900,0.009404
"9","Campbelltown","D1",1789,2872,1846,354050,0.03785
"10","Canterbury","D1",3310,4991,2497,396100,0.392816
"11","Concord","D1",443,1182,497,71200,0.204721
"12","Drummoyne","D1",673,1340,517,95950,0.39755
"13","Fairfield","D1",6524,6977,3332,457150,0.150497
"14","Holroyd","D1",1217,3672,1526,243900,0.202343
"15","Hornsby","D1",1526,4459,2044,359450,0.025476
"16","Huntershill","D1",109,596,235,38000,0.22174
"17","Hurstville","D1",1279,2276,953,197800,0.288277
"18","Kogarah","D1",852,1945,845,141800,0.307531
"19","Ku-ring-gai","D1",1285,3081,1181,314150,0.122736
"20","Lanecove","D1",417,1078,432,89300,0.283117
"21","Leichhardt","D1",1333,3001,1327,176000,0.464087
"22","Liverpool","D1",3231,4638,2843,286000,0.031331
"23","Manly","D1",493,1045,483,111350,0.258296
"24","Marrickville","D1",2201,4159,1933,254500,0.524696
"25","Mosman","D1",464,918,364,81300,0.315388
"26","Northsydney","D1",773,2476,1053,153800,0.473446
"27","Parramatta","D1",4746,7245,3089,399900,0.218914
"28","Penrith","D1",2596,4491,2579,401050,0.033051
"29","Randwick","D1",1724,3826,1800,356250,0.324929
"30","Rockdale","D1",2132,3683,1538,259050,0.30434
"31","Ryde","D1",1715,3655,1633,275600,0.22715
"32","Strathfield","D1",879,1615,675,79850,0.18927
"33","Sutherland","D1",2467,5133,2552,538100,0.053949
"34","Sydney","D1",4631,9416,4201,243450,0.333476
"35","Warringah","D1",1856,4983,2505,540500,0.075389
"36","Waverley","D1",911,1720,805,188600,0.687608
"37","Willoughby","D1",966,2472,895,160350,0.237332
"38","Woollahra","D1",789,1619,778,161450,0.43451
"39","Bluemountains","D2",1115,1913,1335,191950,0.004456
"40","Gosford","D2",1716,3487,2143,327600,0.011485
"41","Hawkesbury","D2",841,1810,1257,129250,0.001553
"42","Wollondilly","D2",385,781,619,72250,0.000943
"43","Wyong","D2",1326,2338,1542,246550,0.011036
"44","Cessnock","D3",450,1073,789,126750,0.002154
"45","Dungog","D3",66,201,122,19600,0.000291
"46","Gloucester","D3",46,166,104,13650,0.000154
"47","Greatlakes","D3",419,884,628,58850,0.000583
"48","Lakemacquarie","D3",2315,3969,2520,472150,0.024575
"49","Maitland","D3",508,907,494,134150,0.01142
"50","Merriwa","D3",48,134,109,7200,6.8e-05
"51","Murrurundi","D3",34,108,54,7050,9.5e-05
