"","Company","Date200506","MCR200506","Capital200506","Surplus200506","SolRatio200506","Date200512","MCR200512","Capital200512","Surplus200512","SolRatio200512","Date200606","MCR200606","Capital200606","Surplus200606","SolRatio200606","Date200612","MCR200612","Capital200612","Surplus200612","SolRatio200612","Date200706","MCR200706","Capital200706","Surplus200706","SolRatio200706","Date200712","MCR200712","Capital200712","Surplus200712","SolRatio200712","Date200806","MCR200806","Capital200806","Surplus200806","SolRatio200806","Date200812","MCR200812","Capital200812","Surplus200812","SolRatio200812","Date200906","MCR200906","Capital200906","Surplus200906","SolRatio200906","Date200912","MCR200912","Capital200912","Surplus200912","SolRatio200912","Date201006","MCR201006","Capital201006","Surplus201006","SolRatio201006"
"2","AAIL","31 Dec",716714,1062586,345872,1.48,"31 Dec",774413,1274474,500061,1.65,"31 Dec",774413,1274474,500061,1.65,"31 Dec",804765,1338041,533276,1.66,"31 Dec",804765,1338041,533276,1.66,"31 Dec",843765,1115797,272032,1.32,"31 Dec",843765,1115797,272032,1.32,"31 Dec",915915,1190690,274775,1.3,"31 Dec",915915,1190690,274775,1.3,"31 Dec",868717,1181090,312373,1.36,"31 Dec",868717,1181090,312373,1.36
"3","AAMI","31 Dec",5000,12745,7745,2.55,"31 Dec",5000,5011,11,1,"31 Dec",5000,5011,11,1,"31 Dec",7676,10843,3167,1.41,"30 Jun",7676,10843,3167,1.41,"30 Jun",6648,14969,8321,2.25,"30 Jun",11495,17042,5547,1.48,"30 Jun",11495,17042,5547,1.48,"30 Jun",350420,656968,306548,1.87,"30 Jun",350420,656968,306548,1.87,"30 Jun",387853,549899,162046,1.42
"4","ACE","31 Dec",70673,179669,108996,2.54,"31 Dec",83571,177583,94012,2.12,"31 Dec",83571,177583,94012,2.12,"31 Dec",74532,200547,126015,2.69,"31 Dec",74532,200547,126015,2.69,"31 Dec",77295,191401,114106,2.48,"31 Dec",77295,191401,114106,2.48,"31 Dec",94788,190652,95864,2.01,"31 Dec",94788,190652,95864,2.01,"31 Dec",102927,196980,94053,1.91,"31 Dec",102927,196980,94053,1.91
"5","AFG","30 Sep",13854,-14600,-28454,-1.05,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA
"6","AIOI","31 Mar",5786,10996,5210,1.9,"31 Mar",5818,10996,5178,1.89,"31 Mar",6041,10146,4105,1.68,"31 Mar",6041,10146,4105,1.68,"31 Mar",7061,21470,14409,3.04,"31 Mar",7061,21470,14409,3.04,"31 Mar",9642,19499,9857,2.02,"31 Mar",9642,19499,9857,2.02,"31 Mar",11655,23017,11362,1.97,"31 Mar",11655,23017,11362,1.97,"31 Mar",12546,20502,7956,1.63
"7","ALEA","31 Dec",5738,14905,9167,2.6,"31 Dec",5000,18422,13422,3.68,"31 Dec",5000,18422,13422,3.68,"31 Dec",5000,20850,15850,4.17,"31 Dec",5000,20850,15850,4.17,"31 Dec",5000,14707,9707,2.94,"31 Dec",5000,14707,9707,2.94,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AM HOME","31 Dec",89213,213489,124276,2.39,"31 Dec",101771,267486,165715,2.63,"31 Dec",101771,267486,165715,2.63,"31 Dec",131624,259844,128220,1.97,"31 Dec",131624,259844,128220,1.97,"31 Dec",141136,263072,121936,1.86,"31 Dec",141136,263072,121936,1.86,"31 Dec",141882,297871,155989,2.1,"31 Dec",141882,297871,155989,2.1,"31 Dec",173059,344388,171329,1.99,"31 Dec",173059,344388,171329,1.99
"9","AM INT","30 Nov",2000,10602,8602,5.3,"30 Nov",2000,10628,8628,5.31,"30 Nov",2000,10628,8628,5.31,"30 Nov",2000,10674,8674,3.56,"30 Nov",2000,10674,8674,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AME RE","31 Dec",51796,95599,43803,1.85,"31 Dec",45447,138986,93539,3.06,"31 Dec",45447,138986,93539,3.06,"31 Dec",39236,149659,110423,3.81,"31 Dec",39236,149659,110423,3.81,"31 Dec",33416,138199,104783,4.14,"31 Dec",33416,138199,104783,4.14,"31 Dec",27477,144813,117336,5.27,"31 Dec",27477,144813,117336,5.27,"31 Dec",17554,150770,133216,8.59,"31 Dec",17554,150770,133216,8.59
"11","AMPG","31 Dec",5000,26344,21344,5.27,"31 Dec",8247,27457,19210,3.33,"31 Dec",8247,27457,19210,3.33,"31 Dec",5000,7018,2018,1.4,"31 Dec",5000,7018,2018,1.4,"31 Dec",5000,7252,2252,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANSVAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",32332,72079,39747,2.23,"31 Dec",36088,75924,39836,2.1,"31 Dec",48088,75924,27836,1.58
"13","ANZ LMI","30 Sep",35963,82058,46095,2.28,"30 Sep",36542,111109,74567,3.04,"30 Sep",36542,111109,74567,3.04,"30 Sep",145533,151216,5683,1.04,"30 Sep",209714,151216,-58498,0.72,"30 Sep",236455,277285,40830,1.17,"30 Sep",236455,277285,40830,1.17,"30 Sep",332423,384913,52490,1.16,"30 Sep",332423,384913,52490,1.16,"30 Sep",368373,495172,126799,1.34,"30 Sep",368373,495172,126799,1.34
"14","ANZCOVER","30 Sep",67821,132947,65126,1.96,"30 Sep",68631,143981,75350,2.1,"30 Sep",68631,143981,75350,2.1,"30 Sep",75770,127977,52207,1.69,"30 Sep",75770,127977,52207,1.69,"30 Sep",71297,172902,101605,2.43,"30 Sep",71297,172902,101605,2.43,"30 Sep",67655,191236,123581,2.83,"30 Sep",67655,191236,123581,2.83,"30 Sep",81567,150765,69198,1.85,"30 Sep",81567,150765,69198,1.85
