"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"1","AAIL","31 Dec",2216005,328333,1887673,1617671,34542,174008,1409121,427379,51173,298754,-125795,224132,"31 Dec",2360062,401596,1958466,1720013,215310,99990,1404713,466938,86815,267102,-92982,260935,"31 Dec",2360062,401596,1958466,1720013,215310,99990,1404713,466938,86815,267102,-92982,260935,"31 Dec",2309146,390728,1918418,1474730,69683,186419,1218628,507374,192416,229297,-93923,327790,"31 Dec",2309146,390728,1918418,1474730,69683,186419,1218628,507374,192416,229297,-93923,327790,"31 Dec",2453260,420790,2032470,1946373,236910,305902,1403561,524770,104139,279386,-69857,313668,"31 Dec",2453260,420790,2032470,1946373,236910,305902,1403561,524770,104139,279386,-69857,313668,"31 Dec",2498042,480852,2017190,2514607,347854,345461,1821292,482406,-286508,498398,-24854,187036,"31 Dec",2498042,480852,2017190,2514607,347854,345461,1821292,482406,-286508,498398,-24854,187036,"31 Dec",2738991,549908,2189083,1684296,105283,251743,1327270,502810,359003,95441,-97029,357415,"31 Dec",2738991,549908,2189083,1684296,105283,251743,1327270,502810,359003,95441,-97029,357415
"2","AAMI","31 Dec",1179304,1179304,0,1120812,0,1120812,0,136919,-136919,1192,136371,644,"31 Dec",1336540,1312095,24445,1307836,0,1307836,0,162735,-138290,1071,137759,540,"31 Dec",1336540,1312095,24445,1307836,0,1307836,0,162735,-138290,1071,137759,540,"31 Dec",1491863,1453118,38745,1466492,0,1466492,0,184515,-145770,2337,144872,1439,"30 Jun",1491863,1453118,38745,1466492,0,1466492,0,184515,-145770,2337,144872,1439,"30 Jun",1558765,1518020,40745,1741396,0,1741396,0,204957,-164212,1331,163835,954,"30 Jun",1602146,1559161,42985,1873868,0,1873868,0,204417,-161432,1489,160196,253,"30 Jun",1602146,1559161,42985,1873868,0,1873868,0,204417,-161432,1489,160196,253,"30 Jun",1719997,124318,1595679,1635032,619381,-2074060,3089711,369105,-1863137,108256,1971913,217032,"30 Jun",1719997,124318,1595679,1635032,619381,-2074060,3089711,369105,-1863137,108256,1971913,217032,"30 Jun",1886849,150259,1736590,2105753,354500,250095,1501158,295009,-59577,172827,-34977,78273
"3","ACE","31 Dec",466362,264266,202096,201026,9905,140170,50951,48484,102661,30950,-23922,109689,"31 Dec",493663,298542,195121,150871,7066,70618,73187,57096,64838,25276,-36292,53822,"31 Dec",493663,298542,195121,150871,7066,70618,73187,57096,64838,25276,-36292,53822,"31 Dec",470595,307316,163279,127979,2732,93065,32182,57853,73244,21955,-23450,71749,"31 Dec",470595,307316,163279,127979,2732,93065,32182,57853,73244,21955,-23450,71749,"31 Dec",459839,276910,182929,254743,3434,157762,93547,68375,21007,21091,-26826,15272,"31 Dec",459839,276910,182929,254743,3434,157762,93547,68375,21007,21091,-26826,15272,"31 Dec",403080,212219,190861,335982,5003,185269,145710,76525,-31374,41994,-12015,-1395,"31 Dec",403080,212219,190861,335982,5003,185269,145710,76525,-31374,41994,-12015,-1395,"31 Dec",417930,230409,187521,272926,1706,153323,117897,71200,-1576,13999,-4768,7655,"31 Dec",417930,230409,187521,272926,1706,153323,117897,71200,-1576,13999,-4768,7655
"4","AFG","30 Sep",0,0,0,0,0,0,0,0,0,358,2227,2585,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AIOI","31 Mar",16511,3974,12537,20597,4291,5878,10428,1703,406,1037,-1322,121,"31 Mar",16511,3974,12537,20597,4291,5878,10428,1703,406,1037,-1322,121,"31 Mar",16028,3640,12388,14968,2469,1692,10807,1761,-180,1197,-2335,-1318,"31 Mar",16028,3640,12388,14968,2469,1692,10807,1761,-180,1197,-2335,-1318,"31 Mar",25155,4142,21013,15887,3413,-1190,13664,2258,5091,1953,-5051,1993,"31 Mar",25155,4142,21013,15887,3413,-1190,13664,2258,5091,1953,-5051,1993,"31 Mar",43227,3788,39439,40584,9763,444,30377,8473,589,2992,-5258,-1677,"31 Mar",43227,3788,39439,40584,9763,444,30377,8473,589,2992,-5258,-1677,"31 Mar",58467,4386,54081,55703,16903,841,37959,12272,3850,3948,-6764,1034,"31 Mar",58467,4386,54081,55703,16903,841,37959,12272,3850,3948,-6764,1034,"31 Mar",67310,5238,62072,66641,11475,11616,43550,14201,4321,2357,-8668,-1990
"6","ALEA","31 Dec",5616,1250,4366,2531,0,0,2531,797,1038,1181,-1120,1099,"31 Dec",2810,2373,437,-782,0,0,-782,177,1042,1296,-875,1463,"31 Dec",2810,2373,437,-782,0,0,-782,177,1042,1296,-875,1463,"31 Dec",125,0,125,-2200,0,0,-2200,12,2313,1099,-1251,2161,"31 Dec",125,0,125,-2200,0,0,-2200,12,2313,1099,-1251,2161,"31 Dec",200,0,200,-1213,0,0,-1213,20,1393,1358,-985,1766,"31 Dec",200,0,200,-1213,0,0,-1213,20,1393,1358,-985,1766,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AM HOME","31 Dec",470353,246426,223927,181348,0,78583,102765,22580,98582,30567,-51789,77360,"31 Dec",505010,282104,222906,232233,0,110851,121382,43029,58495,44535,-31626,71404,"31 Dec",505010,282104,222906,232233,0,110851,121382,43029,58495,44535,-31626,71404,"31 Dec",562236,322366,239870,464974,0,334376,130598,45156,64116,48811,-50190,62737,"31 Dec",562236,322366,239870,464974,0,334376,130598,45156,64116,48811,-50190,62737,"31 Dec",551261,283214,268047,373406,1297,234076,138033,59813,70201,37749,-49673,58277,"31 Dec",551261,283214,268047,373406,1297,234076,138033,59813,70201,37749,-49673,58277,"31 Dec",558824,299394,259430,500020,3606,395327,101087,70317,88026,48664,-64979,71711,"31 Dec",558824,299394,259430,500020,3606,395327,101087,70317,88026,48664,-64979,71711,"31 Dec",525083,276003,249080,503998,1770,390174,112054,66581,70445,59374,-80445,49374,"31 Dec",525083,276003,249080,503998,1770,390174,112054,66581,70445,59374,-80445,49374
"8","AM INT","30 Nov",0,0,0,-89,0,-21,-68,0,68,61,-27,102,"30 Nov",0,0,0,0,0,0,0,0,0,37,-11,26,"30 Nov",0,0,0,0,0,0,0,0,0,37,-11,26,"30 Nov",0,0,0,0,0,0,0,0,0,50,0,50,"30 Nov",0,0,0,0,0,0,0,0,0,50,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AME R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",171,156,15,-2695,0,7473,-10168,1,10182,12896,-6234,16844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AME RE","31 Dec",6262,1095,5167,7190,0,2724,4466,5481,-4780,19712,-2412,12520,"31 Dec",153,1150,-997,-21671,0,-3779,-17892,2595,14300,26455,5585,46340,"31 Dec",153,1150,-997,-21671,0,-3779,-17892,2595,14300,26455,5585,46340,"31 Dec",814,414,400,-25049,0,-9821,-15228,-11559,27187,14600,-11974,29813,"31 Dec",814,414,400,-25049,0,-9821,-15228,-11559,27187,14600,-11974,29813,"31 Dec",171,156,15,-2695,0,7473,-10168,1,10182,12896,-6234,16844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",112,132,-20,-153,0,4064,-4217,664,3533,43151,-15145,31539,"31 Dec",112,132,-20,-153,0,4064,-4217,664,3533,43151,-15145,31539,"31 Dec",-12,19,-31,-20440,0,-11686,-8754,61,8662,6085,-6551,8196,"31 Dec",-12,19,-31,-20440,0,-11686,-8754,61,8662,6085,-6551,8196
