"","Company","Date200506","Invest200506","TotalAsset200506","ClaimReserv200506","PremLiab200506","TotalLiab200506","Equity200506","Date200512","Invest200512","TotalAsset200512","ClaimReserv200512","PremLiab200512","TotalLiab200512","Equity200512","Date200606","Invest200606","TotalAsset200606","ClaimReserv200606","PremLiab200606","TotalLiab200606","Equity200606","Date200612","Invest200612","TotalAsset200612","ClaimReserv200612","PremLiab200612","TotalLiab200612","Equity200612","Date200706","Invest200706","TotalAsset200706","ClaimReserv200706","PremLiab200706","TotalLiab200706","Equity200706","Date200712","Invest200712","TotalAsset200712","ClaimReserv200712","PremLiab200712","TotalLiab200712","Equity200712","Date200806","Invest200806","TotalAsset200806","ClaimReserv200806","PremLiab200806","TotalLiab200806","Equity200806","Date200812","Invest200812","TotalAsset200812","ClaimReserv200812","PremLiab200812","TotalLiab200812","Equity200812","Date200906","Invest200906","TotalAsset200906","ClaimReserv200906","PremLiab200906","TotalLiab200906","Equity200906","Date200912","Invest200912","TotalAsset200912","ClaimReserv200912","PremLiab200912","TotalLiab200912","Equity200912","Date201006","Invest201006","TotalAsset201006","ClaimReserv201006","PremLiab201006","TotalLiab201006","Equity201006"
"1","AAIL","31 Dec",4620780,6718492,4002911,968599,5340619,1377873,"31 Dec",5077131,7246783,4189502,1059040,5711836,1534947,"31 Dec",5077131,7246783,4189502,1059040,5711836,1534947,"31 Dec",6207028,8636611,4133864,1048792,6993875,1642737,"31 Dec",6207028,8636611,4133864,1048792,6993875,1642737,"31 Dec",5822046,8572329,4394242,1089339,7116510,1455819,"31 Dec",5822046,8572329,4394242,1089339,7116510,1455819,"31 Dec",5197478,8021203,4769410,1229604,6546937,1474266,"31 Dec",5197478,8021203,4769410,1229604,6546937,1474266,"31 Dec",5148082,7935900,4407609,1270619,6391548,1544352,"31 Dec",5148082,7935900,4407609,1270619,6391548,1544352
"2","AAMI","31 Dec",1967,1678994,965863,641582,1666249,12745,"31 Dec",2193,1858097,1045590,735854,1844812,13285,"31 Dec",2193,1858097,1045590,735854,1844812,13285,"31 Dec",3603,2030665,1119411,783474,2010941,19724,"30 Jun",3603,2030665,1119411,783474,2010941,19724,"30 Jun",3900,2362290,1341289,843252,2336612,25678,"30 Jun",4275,2476357,1363370,906000,2446815,29542,"30 Jun",4275,2476357,1363370,906000,2446815,29542,"30 Jun",2433131,3408406,1480571,986740,2775263,633143,"30 Jun",2433131,3408406,1480571,986740,2775263,633143,"30 Jun",2330568,3600791,1710910,1061744,3088224,512567
"3","ACE","31 Dec",438273,1060850,545422,176314,884490,176360,"31 Dec",401315,1042058,567957,181480,871850,170208,"31 Dec",401315,1042058,567957,181480,871850,170208,"31 Dec",380440,944028,414219,177520,740260,203768,"31 Dec",380440,944028,414219,177520,740260,203768,"31 Dec",383848,1003622,509978,171268,808231,195391,"31 Dec",383848,1003622,509978,171268,808231,195391,"31 Dec",385117,1106074,576865,204237,912079,193995,"31 Dec",385117,1106074,576865,204237,912079,193995,"31 Dec",386442,1127255,627532,201946,925605,201650,"31 Dec",386442,1127255,627532,201946,925605,201650
"4","AFG","30 Sep",9657,21265,35760,0,35865,-14600,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA
"5","AIOI","31 Mar",14032,42248,10566,18100,32327,9921,"31 Mar",14032,42248,10566,18100,32327,9921,"31 Mar",20071,43453,11886,19400,34850,8603,"31 Mar",20071,43453,11886,19400,34850,8603,"31 Mar",35152,58234,8431,26478,37638,20596,"31 Mar",35152,58234,8431,26478,37638,20596,"31 Mar",39123,79647,12184,41326,60728,18919,"31 Mar",39123,79647,12184,41326,60728,18919,"31 Mar",51623,101753,15190,58017,81788,19965,"31 Mar",51623,101753,15190,58017,81788,19965,"31 Mar",52001,117833,24379,64182,99422,18411
"6","ALEA","31 Dec",19207,23001,4756,2808,8096,14905,"31 Dec",21065,25486,5268,578,6589,18897,"31 Dec",21065,25486,5268,578,6589,18897,"31 Dec",22150,25648,3759,0,4552,21096,"31 Dec",22150,25648,3759,0,4552,21096,"31 Dec",24062,26226,2564,0,3364,22862,"31 Dec",24062,26226,2564,0,3364,22862,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AM HOME","31 Dec",543876,1073838,522585,217568,851903,221935,"31 Dec",635034,1207410,592520,225237,929071,278339,"31 Dec",635034,1207410,592520,225237,929071,278339,"31 Dec",661319,1519266,863209,261122,1248190,271076,"31 Dec",661319,1519266,863209,261122,1248190,271076,"31 Dec",708960,1674434,956568,297205,1383700,290734,"31 Dec",708960,1674434,956568,297205,1383700,290734,"31 Dec",1039179,1931031,1069331,381548,1560384,370647,"31 Dec",1039179,1931031,1069331,381548,1560384,370647,"31 Dec",1193269,2588763,1275859,369023,2168742,420021,"31 Dec",1193269,2588763,1275859,369023,2168742,420021
"8","AM INT","30 Nov",10746,10948,334,0,346,10602,"30 Nov",10778,10977,326,0,349,10628,"30 Nov",10778,10977,326,0,349,10628,"30 Nov",10803,10901,273,0,279,10622,"30 Nov",10803,10901,273,0,279,10622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AME R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",305897,351813,163011,0,200315,151498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AME RE","31 Dec",399593,428157,292547,636,325123,103034,"31 Dec",366095,420407,236549,749,265214,155193,"31 Dec",366095,420407,236549,749,265214,155193,"31 Dec",357342,406787,191493,0,245487,161300,"31 Dec",357342,406787,191493,0,245487,161300,"31 Dec",305897,351813,163011,0,200315,151498,NA,NA,NA,NA,NA,NA,NA,"31 Dec",307514,358666,146413,0,200512,158154,"31 Dec",307514,358666,146413,0,200512,158154,"31 Dec",219269,228265,59582,0,76096,152169,"31 Dec",219269,228265,59582,0,76096,152169
