"","Content","AccYear2YrAgo200512","AccYear1YrAgo200512","AccYear0YrAgo200512","AccYear2YrAgo200612","AccYear1YrAgo200612","AccYear0YrAgo200612","AccYear2YrAgo200712","AccYear1YrAgo200712","AccYear0YrAgo200712","AccYear2YrAgo200812","AccYear1YrAgo200812","AccYear0YrAgo200812","AccYear2YrAgo200912","AccYear1YrAgo200912","AccYear0YrAgo200912"
"2","Accident & health",-2476,3491,3360,334,7192,5388,-2431,6529,4778,3989,13309,7681,-2019,8465,5514
"3","Motor vehicle damage & liability",-311,820,2447,-2820,-1629,3286,-2522,-1666,1864,-2175,3031,5804,-3195,-3365,7872
"4","Aircraft damage & liability",-123,1545,3988,-441,1123,5580,-713,709,3529,-494,1108,5635,-314,-101,4601
"5","Ships damage & Liability",-1410,4562,12090,-1574,4326,21244,-6428,-716,9596,-5683,6038,30433,747,1029,13850
"6","Goods in transit",711,4275,2821,65,1531,1854,-1328,1118,3274,483,415,2273,-1626,2719,1494
"7","Property damage",-26598,22192,102506,-24627,8032,115680,-39401,12844,113532,-43891,6651,129569,-37533,-55817,162200
"8","General liability",-6138,112963,198344,-5276,113788,189194,-10391,130536,195083,-64043,73409,207132,-32839,122890,229104
"9","Pecuniary loss",17,3610,2037,-1680,3733,2500,-696,4093,-518,-1056,3252,2113,484,2665,5263
"10","Total",-36328,153457,327593,-36019,138096,344726,-63910,153447,331138,-112870,107213,390640,-76295,78485,429898
"101","Year of Account",2003,2004,2005,2004,2005,2006,2005,2006,2007,2006,2007,2008,2007,2008,2009
