"","Class","NSWACT200506","NSWACT200512","NSWACT200606","NSWACT200612","NSWACT200706","NSWACT200712","NSWACT200806","NSWACT200812","NSWACT200906","NSWACT200912","NSWACT201006","VIC200506","VIC200512","VIC200606","VIC200612","VIC200706","VIC200712","VIC200806","VIC200812","VIC200906","VIC200912","VIC201006","QLD200506","QLD200512","QLD200606","QLD200612","QLD200706","QLD200712","QLD200806","QLD200812","QLD200906","QLD200912","QLD201006","SA200506","SA200512","SA200606","SA200612","SA200706","SA200712","SA200806","SA200812","SA200906","SA200912","SA201006","WA200506","WA200512","WA200606","WA200612","WA200706","WA200712","WA200806","WA200812","WA200906","WA200912","WA201006","TAS200506","TAS200512","TAS200606","TAS200612","TAS200706","TAS200712","TAS200806","TAS200812","TAS200906","TAS200912","TAS201006","NT200506","NT200512","NT200606","NT200612","NT200706","NT200712","NT200806","NT200812","NT200906","NT200912","NT201006","Total200506","Total200512","Total200606","Total200612","Total200706","Total200712","Total200806","Total200812","Total200906","Total200912","Total201006"
"1","Houseowners/householders",1221,1211,1234,1395,1446,1470,1443,1607,1613,1718,1931,785,814,828,873,904,926,934,1003,1062,1084,1135,610,638,669,705,745,779,820,872,922,978,1123,255,268,261,271,284,285,293,304,308,323,337,301,315,333,347,360,375,397,353,351,420,479,63,63,65,67,71,74,79,78,86,89,98,8,10,10,11,12,12,13,13,14,14,15,3244,3319,3400,3669,3821,3921,3979,4231,4356,4625,5117
"2","Commercial motor vehicle",461,464,465,468,471,533,534,567,584,624,643,344,354,347,345,358,362,381,396,397,406,425,220,231,233,232,239,244,255,261,257,269,274,125,121,115,114,119,123,122,121,123,126,132,138,149,151,155,165,170,181,188,186,194,212,26,26,26,27,27,27,29,29,31,30,30,11,11,11,11,10,10,10,10,11,11,10,1326,1356,1347,1352,1390,1470,1513,1571,1589,1659,1726
"3","Domestic motor vehicle",1953,2039,1967,2039,2043,2103,2171,2190,2332,2363,2477,1224,1271,1269,1315,1334,1376,1438,1454,1554,1578,1683,798,844,882,933,956,1001,1056,1095,1141,1168,1202,308,319,305,314,321,323,338,343,364,372,395,408,423,439,460,464,501,538,477,511,589,641,70,70,70,73,75,79,84,84,91,93,101,9,11,10,13,12,13,14,14,15,16,17,4769,4978,4942,5148,5205,5395,5639,5657,6009,6179,6516
"4","Travel",331,342,342,352,354,427,384,409,469,523,314,NA,NA,NA,63,NA,40,44,47,45,56,59,NA,NA,NA,14,NA,19,21,16,17,42,44,10,11,11,10,10,13,15,11,10,47,48,17,20,19,17,18,23,26,41,40,32,35,1,1,1,1,1,1,1,1,1,3,4,0,0,0,0,0,0,0,0,1,1,1,412,439,436,457,460,524,492,526,582,704,505
"5","Fire and ISR",1135,1194,1165,1119,1096,1218,1168,1330,1361,1331,1317,730,682,668,659,686,675,698,780,778,822,826,364,375,360,348,359,366,364,417,395,419,433,176,178,169,163,165,168,174,191,170,188,201,215,230,224,213,227,238,252,289,247,269,287,37,38,36,36,37,40,40,47,48,52,51,12,14,14,14,14,15,15,19,19,12,12,2669,2711,2636,2552,2584,2721,2710,3073,3017,3093,3126
"6","Marine and aviation",255,251,248,255,250,235,241,264,265,266,268,101,91,88,91,90,90,90,93,96,86,98,81,93,90,95,95,95,97,94,93,102,97,38,37,33,33,32,32,33,32,33,35,33,49,52,53,55,56,57,60,58,54,61,61,9,10,10,10,10,10,10,9,8,11,10,8,9,10,11,10,10,10,10,10,9,7,541,543,532,550,543,530,541,559,560,570,574
"7","Mortgage",152,219,220,301,304,353,351,302,302,371,372,140,147,147,NA,203,227,226,204,199,234,234,116,145,146,NA,210,255,253,224,220,276,275,34,41,41,51,51,63,63,52,51,59,59,75,108,108,109,109,117,117,97,96,115,115,7,9,9,13,13,14,14,14,14,16,16,3,4,4,6,6,8,8,9,9,11,11,526,673,676,886,897,1038,1032,901,891,1083,1082
"8","Consumer credit",69,69,71,81,78,75,74,85,87,96,103,35,46,46,62,63,61,62,90,89,64,67,41,46,47,55,62,58,58,77,76,78,82,15,16,14,18,18,16,16,22,21,21,22,21,22,23,30,30,32,34,-2,-6,38,39,5,5,5,7,8,7,8,10,10,10,8,1,2,2,2,2,2,3,3,3,3,3,188,206,208,254,261,251,254,285,280,310,325
"9","Other accident",417,433,422,362,366,424,423,359,386,373,365,200,211,211,212,221,219,212,194,196,222,221,157,159,162,164,156,159,162,151,145,156,171,75,82,82,82,82,87,87,115,116,99,103,90,100,99,106,104,104,107,103,103,110,115,15,15,15,15,15,16,16,14,15,16,17,3,5,5,4,4,5,6,6,5,5,5,956,1004,996,945,948,1013,1013,941,966,982,996
"10","Other",299,297,291,354,352,250,242,186,178,173,191,154,143,145,161,166,204,197,261,256,128,134,77,80,86,92,108,125,145,132,131,136,128,43,40,40,44,43,37,36,39,36,31,34,54,56,54,57,59,60,60,54,54,55,56,5,5,5,6,7,7,7,7,6,7,7,2,2,2,2,3,3,3,3,3,3,3,634,624,623,716,739,688,691,681,665,532,554
