"","BuildType","ClaimCost","SumInsured"
"1","E",6437.7243,25560
"2","D",4263.09498,142560
"3","D",2546.2944,5292
"4","C",2247.27624,5508
"5","B",3.564,414
"6","B",3.564,540
"7","B",1.6182,702
"8","B",2.7837,720
"9","B",2.6982,756
"10","D",14.04,900
"11","B",6.399,1116
"12","B",8.262,1134
"13","D",1.242,1134
"14","B",3.582,1170
"15","B",0.63,1260
"16","B",4.122,1314
"17","B",0.63,1314
"18","B",3.6,1350
"19","B",56.799,1368
"20","B",11.052,1368
"21","B",198.16056,1404
"22","B",159.56784,1404
"23","B",2.1582,1440
"24","B",1.98,1440
"25","B",1.53,1440
"26","B",0.855,1530
"27","B",4.6377,1566
"28","B",4.482,1566
"29","B",2.3382,1566
"30","B",6.4476,1584
"31","B",11.5191,1620
"32","B",1.602,1620
"33","B",5.004,1638
"34","B",0.81,1638
"35","B",5.0625,1656
"36","E",12.8502,1764
"37","B",3.222,1764
"38","B",6.642,1836
"39","B",5.3955,1836
"40","B",4.5,1836
"41","B",0.8991,1836
"42","B",14.1255,1872
"43","B",2.7,1872
"44","B",2.124,1944
"45","B",37.62,1962
"46","B",4.29192,1962
"47","B",2.4516,1962
"48","B",1.764,1962
"49","D",3.564,1980
"50","B",17.1,2016
"51","B",7.2,2070
"52","B",3.5955,2070
"53","B",5.22,2088
"54","B",1.2582,2142
"55","B",170.74026,2160
"56","B",8.082,2160
"57","B",4.482,2160
"58","B",3.0582,2160
"59","B",2.502,2160
"60","D",1.0782,2160
"61","B",0.36,2160
"62","D",9.693,2178
"63","C",1063.04094,2196
"64","B",22.14,2196
"65","C",13.086,2196
"66","B",2.07,2196
"67","B",18.54,2250
"68","B",3.39156,2250
"69","B",3.582,2286
"70","B",8.9631,2358
"71","B",17.07444,2376
"72","B",14.39784,2376
"73","B",27.0891,2448
"74","B",24.687,2448
"75","D",0.531,2448
"76","E",27,2484
"77","B",5.562,2484
"78","B",1.6191,2574
"79","B",7.1325,2592
"80","B",1.7982,2628
"81","B",4.7322,2664
"82","B",8.46,2790
"83","B",2.8791,2862
"84","B",1.161,2898
"85","B",1.134,2916
"86","D",1280.77686,2934
"87","B",4.491,3114
"88","B",4.122,3114
"89","B",3.582,3114
"90","B",2.61,3114
"91","D",4.1391,3186
"92","B",72.846,3348
"93","D",1.062,3600
