"","CityCode","State","City","PopExpo","PopPrem","PopClaimRob","PopClaimColl","PopClaimFire","PopClaimOther","LuxExpo","LuxPrem","LuxClaimRob","LuxClaimColl","LuxClaimFire","LuxClaimOther","HDIcity00","CityDens10","StateAb"
"410010",410010,"Parana","Abatia",15.11,10593.88,0,0,0,0,0.5,271.36,0,0,0,0,0.71,5597,"PR"
"410020",410020,"Parana","Adrianopolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,4152,"PR"
"410030",410030,"Parana","Agudos Do Sul",8.21,6182.54,0,1,0,4,1.15,2418.51,0,0,0,0,0.71,5722,"PR"
"410040",410040,"Parana","Almirante Tamandare",202.04,161803.94,1,27,0,1,13.79,19923.06,0,2,0,0,0.72,69183,"PR"
"410045",410045,"Parana","Altamira Do Parana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,2840,"PR"
"412862",412862,"Parana","Alto Paraiso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2242,"PR"
"410060",410060,"Parana","Alto Parana",22.12,14543.41,0,0,0,0,2.27,3801.41,0,0,0,0,0.74,9926,"PR"
"410070",410070,"Parana","Alto Piquiri",12.03,8288.69,0,0,0,0,2.89,4569.9,0,0,0,0,0.75,7336,"PR"
"410050",410050,"Parana","Altonia",20.36,12083.11,0,2,0,0,6.08,6007.88,0,0,0,0,0.83,15162,"PR"
"410080",410080,"Parana","Alvorada Do Sul",13.88,11052.65,0,2,0,1,3.58,4242.93,0,0,0,0,0.75,7580,"PR"
"410090",410090,"Parana","Amapora",5.41,3273.72,0,3,0,0,0.86,1035.16,0,1,0,0,0.7,3729,"PR"
"410100",410100,"Parana","Ampere",22.13,14322.44,0,3,0,0,3.83,4307.6,0,1,0,0,0.79,12210,"PR"
"410105",410105,"Parana","Anahy",1.51,1295.65,0,0,0,0,0.33,404.62,0,0,0,0,0.72,2059,"PR"
"410110",410110,"Parana","Andira",30.27,19675.45,0,5,0,2,4.61,4734.47,0,1,0,0,0.74,15248,"PR"
"410115",410115,"Parana","Angulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,2091,"PR"
"410120",410120,"Parana","Antonina",25.14,16399.38,0,5,0,0,2.9,3461.05,0,0,0,0,0.77,12935,"PR"
"410130",410130,"Parana","Antonio Olinto",5.67,3705.33,0,0,0,0,0.45,871.16,0,0,0,0,0.71,5196,"PR"
"410140",410140,"Parana","Apucarana",270.44,187957.65,2,47,0,3,72.58,97099.84,0,9,0,1,0.79,89402,"PR"
"410150",410150,"Parana","Arapongas",255.64,161443.13,1,29,0,3,73.45,78607.36,1,5,0,0,0.77,78233,"PR"
"410160",410160,"Parana","Arapoti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,17564,"PR"
"410165",410165,"Parana","Arapua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,2527,"PR"
"410170",410170,"Parana","Araruna",14.38,9363.91,0,0,0,0,3.88,4714.63,0,0,0,0,0.73,9794,"PR"
"410180",410180,"Parana","Araucaria",378.09,300611.9,2,49,0,9,39.84,66558.31,0,4,0,1,0.8,83651,"PR"
"410185",410185,"Parana","Ariranha Do Ivai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,1786,"PR"
"410190",410190,"Parana","Assai",19.86,12004.25,0,0,0,0,6.49,8890.92,0,0,0,0,0.74,11851,"PR"
"410200",410200,"Parana","Assis Chateaubriand",56.49,34689.64,0,4,0,0,12.5,12398.8,0,2,0,0,0.78,24524,"PR"
"410210",410210,"Parana","Astorga",65.29,39865.28,1,7,0,1,10.48,10859.86,0,2,0,0,0.75,18529,"PR"
"410220",410220,"Parana","Atalaia",7.24,3897.74,0,1,0,0,0.41,765.18,0,0,0,0,0.76,2952,"PR"
"410230",410230,"Parana","Balsa Nova",25.9,15905.87,0,3,0,0,1.4,1098.88,0,0,0,0,0.78,8112,"PR"
"410240",410240,"Parana","Bandeirantes",48.3,33257.6,0,11,0,0,9.76,12804.06,0,2,0,0,0.75,23289,"PR"
"410250",410250,"Parana","Barbosa Ferraz",9.29,6122.79,0,2,0,0,1.55,2400.99,0,0,0,0,0.7,9121,"PR"
"410270",410270,"Parana","Barra Do Jacare",6.27,2726.28,0,0,0,0,0.01,21.77,0,1,0,0,0.78,2091,"PR"
"410260",410260,"Parana","Barracao",13.23,9836.66,0,5,0,0,4.89,6617.44,0,0,0,1,0.76,6847,"PR"
"410275",410275,"Parana","Bela Vista Da Caroba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,2736,"PR"
"410280",410280,"Parana","Bela Vista Do Paraiso",21.48,15206.73,0,0,0,0,7.5,10682.26,0,0,0,0,0.77,11192,"PR"
"410290",410290,"Parana","Bituruna",18.26,12831.4,0,3,0,1,1.32,2503.1,0,0,0,0,0.71,10323,"PR"
"410300",410300,"Parana","Boa Esperanca",6.4,5340.18,0,1,0,0,2.06,2245.54,0,0,0,0,0.72,3405,"PR"
"410302",410302,"Parana","Boa Esperanca Do Iguacu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1898,"PR"
"410304",410304,"Parana","Boa Ventura De Sao Roque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,4308,"PR"
"410305",410305,"Parana","Boa Vista Da Aparecida",6.55,4478.96,0,0,0,0,0.94,2847.41,0,1,0,0,0.69,5352,"PR"
"410310",410310,"Parana","Bocaiuva Do Sul",14.12,11312.85,0,0,0,0,0.44,619.87,0,0,0,0,0.71,7367,"PR"
"410315",410315,"Parana","Bom Jesus Do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,2611,"PR"
"410320",410320,"Parana","Bom Sucesso",6.18,4304.14,0,0,0,0,0.5,911.95,0,0,0,0,0.73,4690,"PR"
"410322",410322,"Parana","Bom Sucesso Do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,2438,"PR"
"410330",410330,"Parana","Borrazopolis",10.72,9085.25,0,0,0,0,1,1090.86,0,0,0,0,0.72,5851,"PR"
"410335",410335,"Parana","Braganey",21.17,13698.73,0,3,0,0,6.35,12594.4,0,1,0,0,0.7,4061,"PR"
"410337",410337,"Parana","Brasilandia Do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2326,"PR"
"410340",410340,"Parana","Cafeara",4.91,3466.78,1,0,0,0,0.5,268.42,0,0,0,0,0.69,1990,"PR"
"410345",410345,"Parana","Cafelandia",23.53,16683.35,0,3,0,0,4.15,7435.2,0,2,0,0,0.78,10634,"PR"
"410347",410347,"Parana","Cafezal Do Sul",2.92,1836.37,0,0,0,0,0.66,1016.5,0,1,0,0,0.73,3172,"PR"
"410350",410350,"Parana","California",16.2,10159.56,0,2,0,0,1.84,2297.58,0,0,0,0,0.74,5871,"PR"
"410360",410360,"Parana","Cambara",34.62,19733.14,0,5,1,1,7.13,8658.4,0,0,0,0,0.76,17590,"PR"
"410370",410370,"Parana","Cambe",201.33,144148.86,1,25,0,2,25.16,38625.55,0,2,0,1,0.79,71095,"PR"
"410380",410380,"Parana","Cambira",10.92,6443.92,0,1,0,0,1.84,1593.06,0,0,0,0,0.76,5418,"PR"
"410390",410390,"Parana","Campina Da Lagoa",16.38,9260.98,0,2,0,0,4.93,5107.01,0,1,0,0,0.71,10785,"PR"
"410395",410395,"Parana","Campina Do Simao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2636,"PR"
"410400",410400,"Parana","Campina Grande Do Sul",80.25,63720.26,0,9,0,0,10.46,16761.84,1,2,0,0,0.76,26412,"PR"
"410405",410405,"Parana","Campo Bonito",1.74,2372.04,0,1,0,0,0.7,4109.95,0,0,0,1,0.68,2927,"PR"
"410410",410410,"Parana","Campo Do Tenente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,4687,"PR"
"410420",410420,"Parana","Campo Largo",314.35,233836.34,2,42,0,7,43.27,67194.56,0,0,0,1,0.77,80958,"PR"
"410425",410425,"Parana","Campo Magro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,17054,"PR"
"410430",410430,"Parana","Campo Mourao",158.91,109018.1,2,24,0,9,58.63,72901.4,1,2,0,2,0.77,63579,"PR"
"410440",410440,"Parana","Candido De Abreu",13.14,8724.74,0,0,0,0,0.78,1186.75,0,0,0,0,0.66,11059,"PR"
"410442",410442,"Parana","Candoi",19.37,15054.1,0,2,0,0,2.51,3218.74,0,0,0,0,0.71,9751,"PR"
"410445",410445,"Parana","Cantagalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,8416,"PR"
"410450",410450,"Parana","Capanema",19.63,11304.93,0,1,0,0,2.21,1957.94,0,0,0,0,0.8,13558,"PR"
"410460",410460,"Parana","Capitao Leonidas Marques",25.65,16174.1,1,1,0,0,5.36,5932.66,0,1,0,0,0.75,10603,"PR"
"410465",410465,"Parana","Carambei",4.34,3864.34,0,1,0,0,0.5,834.1,0,0,0,0,0.78,12808,"PR"
"410470",410470,"Parana","Carlopolis",20.66,13407.37,0,0,0,1,2.29,3281.32,0,0,0,0,0.72,9866,"PR"
"410480",410480,"Parana","Cascavel",671.8,532441.92,27,317,0,28,163.59,240323.98,6,88,1,37,0.81,207346,"PR"
"410490",410490,"Parana","Castro",72.49,50667.49,0,14,0,1,11.24,14222.47,0,4,0,0,0.73,44585,"PR"
"410500",410500,"Parana","Catanduvas",5.87,5291,0,0,0,1,1.18,1303.42,0,1,0,1,0.71,6892,"PR"
"410510",410510,"Parana","Centenario Do Sul",11.71,6505.36,0,1,0,0,1.23,1554.57,0,1,0,0,0.73,8147,"PR"
"410520",410520,"Parana","Cerro Azul",9.63,8484.14,0,0,0,0,2.14,3418.09,0,0,0,0,0.68,10944,"PR"
"410530",410530,"Parana","Ceu Azul",14.64,8639.68,0,4,0,0,4.27,4993.29,0,0,0,1,0.78,8090,"PR"
"410540",410540,"Parana","Chopinzinho",24.24,15121.95,0,3,0,0,6.26,6543.34,0,1,0,0,0.77,13874,"PR"
"410550",410550,"Parana","Cianorte",149.23,96241.38,0,26,0,2,58.3,80859.08,0,8,0,1,0.81,52499,"PR"
"410560",410560,"Parana","Cidade Gaucha",15.53,9961.12,0,0,0,0,5.75,6834.7,0,0,0,0,0.74,7881,"PR"
